Date,Source,Details,Country (Profile)
Tue Nov 01 16:02:04 +0000 2022,Pakistan News ,Feature: One year of longing in Kashmir #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/11/01…,"Islamabad, Pakistan"
Tue Nov 01 15:04:03 +0000 2022,Pakistan News ,Indian troops launch CASOs in IIOJK #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/11/01…,"Islamabad, Pakistan"
Tue Nov 01 15:02:02 +0000 2022,Pakistan News ,Indian troops martyr one more youth in IIOJK #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/11/01…,"Islamabad, Pakistan"
Tue Nov 01 13:02:03 +0000 2022,Pakistan News ,Delegation of Kashmiri journalists visits APHC-AJK office to condole Abbas Ansari’s death #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/11/01…,"Islamabad, Pakistan"
Tue Nov 01 11:04:03 +0000 2022,Pakistan News ,Indian troops martyred 14 Kashmiris in October #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/11/01…,"Islamabad, Pakistan"
Tue Nov 01 11:02:02 +0000 2022,Pakistan News ,Indian troops launch CASO in Bijbehara #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/11/01…,"Islamabad, Pakistan"
Tue Nov 01 10:02:03 +0000 2022,Pakistan News ,Srinagar-Leh highway closed after fresh snowfall #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/11/01…,"Islamabad, Pakistan"
Tue Nov 01 09:02:02 +0000 2022,Pakistan News ,"Hate politics intensifies before elections, says former Indian Chief Election Commissioner #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/11/01…","Islamabad, Pakistan"
Tue Nov 01 07:06:03 +0000 2022,Pakistan News ,Muslim engineering student gets 5-year jail in Karnataka for Pulwama attack posts #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/11/01…,"Islamabad, Pakistan"
Tue Nov 01 07:04:03 +0000 2022,Pakistan News ,75th Independence Day of Gilgit-Baltistan being celebrated today #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/11/01…,"Islamabad, Pakistan"
Tue Nov 01 07:02:03 +0000 2022,Pakistan News ,Nayeem urges India to pave way for negotiated settlement of Kashmir dispute #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/11/01…,"Islamabad, Pakistan"
Tue Nov 01 06:06:02 +0000 2022,Pakistan News ,Pakistan calls for exercise of right to self-determination in IIOJK #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/11/01…,"Islamabad, Pakistan"
Tue Nov 01 06:04:04 +0000 2022,Pakistan News ,Girl commits suicide amid increasing mental health issues in IIOJK #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/11/01…,"Islamabad, Pakistan"
Tue Nov 01 06:02:04 +0000 2022,Pakistan News ,Video of biased Indian origin Twitter legal head getting fired goes viral #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/11/01…,"Islamabad, Pakistan"
Tue Nov 01 05:06:03 +0000 2022,Pakistan News ,Muslim engineering students gets 5-year jail in Karnataka for Pulwama attack posts #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/11/01…,"Islamabad, Pakistan"
Tue Nov 01 05:04:04 +0000 2022,Pakistan News ,Omar criticizes Modi for manifesting ostrich approach towards China’s entry to Ladakh #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/11/01…,"Islamabad, Pakistan"
Tue Nov 01 05:02:04 +0000 2022,Pakistan News ,Indian troops martyr 14 Kashmiris in October #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/11/01…,"Islamabad, Pakistan"
Tue Nov 01 04:02:04 +0000 2022,Pakistan News ,Police raid houses of The Wire journalists #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/11/01…,"Islamabad, Pakistan"
Mon Oct 31 17:04:03 +0000 2022,Pakistan News ,Indian police arrest two youth Pulwama #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/31…,"Islamabad, Pakistan"
Mon Oct 31 17:02:02 +0000 2022,Pakistan News ,Article: In police denial that Hindu mob’s killing of Muslim in UP village was a communal attack #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/31…,"Islamabad, Pakistan"
Mon Oct 31 15:00:14 +0000 2022,Pakistan News ,Delhi police raids homes of ‘The Wire’ editors #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/31…,"Islamabad, Pakistan"
Mon Oct 31 14:02:02 +0000 2022,Pakistan News ,Srinagar’s brilliant artist Zainab Farooq #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/31…,"Islamabad, Pakistan"
Mon Oct 31 13:02:02 +0000 2022,Pakistan News ,Speakers in Kathmandu express concern over Indian state terrorism in IIOJK #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/31…,"Islamabad, Pakistan"
Mon Oct 31 10:04:02 +0000 2022,Pakistan News ,Mirwaiz Umar Farooq listed among 500 most influential Muslims in world #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/31…,"Islamabad, Pakistan"
Mon Oct 31 10:02:03 +0000 2022,Pakistan News ,Indian troops martyr youth in Kupwara today #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/31…,"Islamabad, Pakistan"
Mon Oct 31 09:02:02 +0000 2022,Pakistan News ,"Modi’s Hindutva policies in Muslim majority IIOJK will lead to catastrophe in region, world warned #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/31…","Islamabad, Pakistan"
Mon Oct 31 07:04:03 +0000 2022,Pakistan News ,Two more Kashmiri youth arrested in IIOJK #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/31…,"Islamabad, Pakistan"
Mon Oct 31 07:02:02 +0000 2022,Pakistan News ,"4 Killed, 6 Injured after landslide at Kishtwar tunnel #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/31…","Islamabad, Pakistan"
Mon Oct 31 06:06:03 +0000 2022,Pakistan News ,Video show: Women in “Indian Forces” inducted for just entertainment purpose | Kashmir Magazine #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/31…,"Islamabad, Pakistan"
Mon Oct 31 06:04:03 +0000 2022,Pakistan News ,"BJP betrayed Jammu people, exploited them as commodity: IIOJK Congress #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/31…","Islamabad, Pakistan"
Mon Oct 31 06:02:04 +0000 2022,Pakistan News ,Modi regime equipping police in IIOJK with helicopter service for some clandestine operations #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/31…,"Islamabad, Pakistan"
Mon Oct 31 05:08:02 +0000 2022,Pakistan News ,"141 people killed, many missing after bridge collapses in Gujarat, India #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/31…","Islamabad, Pakistan"
Mon Oct 31 05:06:02 +0000 2022,Pakistan News ,Video show: Women in “Indian Armed Forces” are inducted for just an entertainment purpose | Kashmir Magazine #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/31…,"Islamabad, Pakistan"
Mon Oct 31 05:04:02 +0000 2022,Pakistan News ,Int’l community urged to save Kashmiris from Hindutva onslaught #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/31…,"Islamabad, Pakistan"
Mon Oct 31 05:02:02 +0000 2022,Pakistan News ,"BJP betrayed Jammu people, exploited them as commodity: JKPCC #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/31…","Islamabad, Pakistan"
Mon Oct 31 04:02:03 +0000 2022,Pakistan News ,Hundreds drown into river after bridge collapses in India #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/31…,"Islamabad, Pakistan"
Sun Oct 30 17:04:02 +0000 2022,Pakistan News ,Send Bilkis Bano rapists back to jail: Delhi women’s panel writes to Modi #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/30…,"Islamabad, Pakistan"
Sun Oct 30 17:02:03 +0000 2022,Pakistan News ,Hundreds drown into river after bridge collapses in India #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/30…,"Islamabad, Pakistan"
Sun Oct 30 16:02:02 +0000 2022,Pakistan News ,Indian police arrest one youth in Shopian #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/30…,"Islamabad, Pakistan"
Sun Oct 30 14:04:03 +0000 2022,Pakistan News ,"Modi as PM repeating all across India what he did as CM in Gujarat in 2002, says UK leaked video #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/30…","Islamabad, Pakistan"
Sun Oct 30 14:02:02 +0000 2022,Pakistan News ,"Modi adding salt to wounds of Kashmiri youth, says Mehbooba Mufti #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/30…","Islamabad, Pakistan"
Sun Oct 30 11:04:02 +0000 2022,Pakistan News ,"‘What we saw play out in Gujarat under CM Modi, now tragically seen play out across India under PM Modi’, says UK leaked video #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/30…","Islamabad, Pakistan"
Sun Oct 30 11:02:02 +0000 2022,Pakistan News ,Behenji expresses concern over India’s growing atrocities in IIOJK #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/30…,"Islamabad, Pakistan"
Sun Oct 30 07:02:02 +0000 2022,Pakistan News ,Unresolved Kashmir dispute threatens international peace: Speakers #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/30…,"Islamabad, Pakistan"
Sun Oct 30 06:04:03 +0000 2022,Pakistan News ,"Kashmiris observing October 27 as the day of grief, sorrow: Dr Fai #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/30…","Islamabad, Pakistan"
Sun Oct 30 06:02:03 +0000 2022,Pakistan News ,‘Kashmir not internal matter of India but nuclear flashpoint in S. Asia’ #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/30…,"Islamabad, Pakistan"
Sun Oct 30 05:08:02 +0000 2022,Pakistan News ,Legacy of Modi regime after eight years is “no jobs”: Chidambaram #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/30…,"Islamabad, Pakistan"
Sun Oct 30 05:06:03 +0000 2022,Pakistan News ,IIOJK continues to face political uncertainty: NC #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/30…,"Islamabad, Pakistan"
Sun Oct 30 05:04:03 +0000 2022,Pakistan News ,Plummeting apple prices leave farmers distraught #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/30…,"Islamabad, Pakistan"
Sun Oct 30 05:02:02 +0000 2022,Pakistan News ,"15-year-old girl abducted, gang-raped in Madhya Pradesh #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/30…","Islamabad, Pakistan"
Sat Oct 29 17:02:03 +0000 2022,Pakistan News ,"Landslide hits Rattle Power Project in Kishtwar, four feared dead #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/29…","Islamabad, Pakistan"
Sat Oct 29 16:04:04 +0000 2022,Pakistan News ,Kashmiris fighting war for completion of Pakistan: APHC-AJK leaders #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/29…,"Islamabad, Pakistan"
Sat Oct 29 16:02:02 +0000 2022,Pakistan News ,"BJP attempts to buy MLAs, Delhi Deputy CM says Amit Shah should be arrested #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/29…","Islamabad, Pakistan"
Sat Oct 29 12:06:02 +0000 2022,Pakistan News ,"Qatar arrests 8 Indian Navy officers for spying, Indian state-sponsored international terrorism #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/29…","Islamabad, Pakistan"
Sat Oct 29 12:04:02 +0000 2022,Pakistan News ,Jail threats will not change reality of Kashmir dispute #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/29…,"Islamabad, Pakistan"
Sat Oct 29 12:02:03 +0000 2022,Pakistan News ,MMU pays tribute to Maulana Abbas Ansari #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/29…,"Islamabad, Pakistan"
Sat Oct 29 11:04:02 +0000 2022,Pakistan News ,Omar Abdullah says situation is not normal in IIOJK #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/29…,"Islamabad, Pakistan"
Sat Oct 29 11:02:02 +0000 2022,Pakistan News ,"Modi govt using agencies, forces against political opponents: Chhattisgarh CM #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/29…","Islamabad, Pakistan"
Sat Oct 29 10:02:03 +0000 2022,Pakistan News ,Pakistan vehemently rejects India’s unfounded propaganda at UN-CTC meeting #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/29…,"Islamabad, Pakistan"
Sat Oct 29 09:02:03 +0000 2022,Pakistan News ,"‘HR abuses witnessed massive increase since August 05, 2019’ #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/29…","Islamabad, Pakistan"
Sat Oct 29 08:02:02 +0000 2022,Pakistan News ,Border dispute with Ladakh takes centre stage ahead of Himachal Assembly polls #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/29…,"Islamabad, Pakistan"
Sat Oct 29 07:02:03 +0000 2022,Pakistan News ,Mirwaiz says jail threats to Hurriyat leadership will not change reality of Kashmir dispute #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/29…,"Islamabad, Pakistan"
Sat Oct 29 06:02:03 +0000 2022,Pakistan News ,Article: 1947 Partition Stories — Professor Rafique: The Trials and Tribulations of an Eight-year-old #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/29…,"Islamabad, Pakistan"
Sat Oct 29 05:02:03 +0000 2022,Pakistan News ,"‘IIOJK’s tumultuous situation can escalate Pak, India tension’ #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/29…","Islamabad, Pakistan"
Sat Oct 29 04:06:02 +0000 2022,Pakistan News ,25 homes of Muslims demolished in New Delhi amid police brutality #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/29…,"Islamabad, Pakistan"
Sat Oct 29 04:04:02 +0000 2022,Pakistan News ,Article: Claiming Rishi Sunak as One of Our Own Is Totally Misplaced #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/29…,"Islamabad, Pakistan"
Sat Oct 29 04:02:02 +0000 2022,Pakistan News ,Article: Operation London Lotus: One More Feather in Our Supreme Leader’s Turban #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/29…,"Islamabad, Pakistan"
Fri Oct 28 16:04:02 +0000 2022,Pakistan News ,Delhi-controlled SIA files chargesheet against three persons in IIOJK #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/28…,"Islamabad, Pakistan"
Fri Oct 28 16:02:02 +0000 2022,Pakistan News ,Oslo seminar highlights grave HR situation in IIOJK #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/28…,"Islamabad, Pakistan"
Fri Oct 28 15:02:03 +0000 2022,Pakistan News ,Pakistan urges India to resolve Kashmir dispute by giving Kashmiris right to self-determination #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/28…,"Islamabad, Pakistan"
Fri Oct 28 14:41:40 +0000 2022,Adil Raja ,"Senator Azam Swati named those who're responsible for torturing him &amp; conducting extrajudicial activities:1) Maj Gen Faisal Naseer DG internal wing ISI.2) Brig Faheem Raza, Sector Commander Islamabad, ISI internal wing.How can the nation believe the DGISI's presser now? twitter.com/ShazadAkbar/st…","Islamabad, Pakistan"
Fri Oct 28 14:02:03 +0000 2022,Pakistan News ,India hatches another nefarious conspiracy against Pakistan #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/28…,"Islamabad, Pakistan"
Fri Oct 28 13:06:02 +0000 2022,Pakistan News ,Anjuman Auqaf condemns continued illegal house detention of Mirwaiz #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/28…,"Islamabad, Pakistan"
Fri Oct 28 13:04:03 +0000 2022,Pakistan News ,APHC Chairman thanks Kashmiris for observing Black Day #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/28…,"Islamabad, Pakistan"
Fri Oct 28 13:02:03 +0000 2022,Pakistan News ,Pakistan will continue its support to Kashmiris: Masood Khan #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/28…,"Islamabad, Pakistan"
Fri Oct 28 12:06:03 +0000 2022,Pakistan News ,Article: Umar Khalid’s real crime? Challenging the government as a Muslim #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/28…,"Islamabad, Pakistan"
Fri Oct 28 12:04:04 +0000 2022,Pakistan News ,Solidarity expressed with oppressed people of IIOJK #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/28…,"Islamabad, Pakistan"
Fri Oct 28 12:02:04 +0000 2022,Pakistan News ,Sikh aspirants wearing ‘Karas’ barred from appearing in exam #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/28…,"Islamabad, Pakistan"
Fri Oct 28 10:04:03 +0000 2022,Pakistan News ,FM Bilawal’s letter on IIOJK situation delivered to UN leadership #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/28…,"Islamabad, Pakistan"
Fri Oct 28 10:02:04 +0000 2022,Pakistan News ,8 retired Indian Navy officers arrested in Qatar #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/28…,"Islamabad, Pakistan"
Fri Oct 28 09:02:02 +0000 2022,Pakistan News ,Over two dozen houses gutted in Kishtwar fire #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/28…,"Islamabad, Pakistan"
Fri Oct 28 08:02:03 +0000 2022,Pakistan News ,15 houses gutted in Kishtwar fire #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/28…,"Islamabad, Pakistan"
Fri Oct 28 07:48:18 +0000 2022,Wusat Ullah Khan ,9th Nov 2008 pic.twitter.com/KYOkWmGT6w,"Islamabad, Pakistan"
Fri Oct 28 07:02:04 +0000 2022,Pakistan News ,India has always treated Kashmir as its colony: Report #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/28…,"Islamabad, Pakistan"
Fri Oct 28 06:04:03 +0000 2022,Pakistan News ,Azaadi posters surface in IIOJK’s Samba district #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/28…,"Islamabad, Pakistan"
Fri Oct 28 06:02:03 +0000 2022,Pakistan News ,Protest demonstration outside Indian embassy in Washington #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/28…,"Islamabad, Pakistan"
Fri Oct 28 03:02:02 +0000 2022,Pakistan News ,Samajwadi Party leader convicted in hate speech case #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/28…,"Islamabad, Pakistan"
Thu Oct 27 18:04:02 +0000 2022,Pakistan News ,Unresolved Kashmir dispute threat to peace in S. Asia: AJK President #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…,"Islamabad, Pakistan"
Thu Oct 27 18:02:03 +0000 2022,Pakistan News ,FM Bilawal reaffirms Pakistan’s resolve to continue backing Kashmiris #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…,"Islamabad, Pakistan"
Thu Oct 27 17:04:03 +0000 2022,Pakistan News ,Kashmir Black Day observed at Pakistan’s missions world over #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…,"Islamabad, Pakistan"
Thu Oct 27 17:02:04 +0000 2022,Pakistan News ,‘Kashmir dispute to be raised at every forum of world’ #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…,"Islamabad, Pakistan"
Thu Oct 27 16:08:03 +0000 2022,Pakistan News ,Kashmir Black Day observed in AJK #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…,"Islamabad, Pakistan"
Thu Oct 27 16:06:03 +0000 2022,Pakistan News ,OIC reiterates its solidarity with Kashmiris on Kashmir Black Day #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…,"Islamabad, Pakistan"
Thu Oct 27 16:04:03 +0000 2022,Pakistan News ,‘Indian fascist regime has curbed freedom of expression in IIOJK’ #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…,"Islamabad, Pakistan"
Thu Oct 27 16:02:03 +0000 2022,Pakistan News ,KCEU holds anti-India demo in Brussels on Kashmir Black Day #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…,"Islamabad, Pakistan"
Thu Oct 27 14:12:03 +0000 2022,Pakistan News ,Indian troops martyr one more youth in IIOJK #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…,"Islamabad, Pakistan"
Thu Oct 27 14:10:03 +0000 2022,Pakistan News ,Muslim man arrested in Chhattisgarh for hoisting Pakistan’s flag at home #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…,"Islamabad, Pakistan"
Thu Oct 27 14:08:02 +0000 2022,Pakistan News ,Indian troops continue CASO in Baramulla #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…,"Islamabad, Pakistan"
Thu Oct 27 14:06:02 +0000 2022,Pakistan News ,"British lawmakers, youth leaders discuss Kashmir, pass resolution #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…","Islamabad, Pakistan"
Thu Oct 27 14:04:02 +0000 2022,Pakistan News ,Int’l community urged to force India to resolve Kashmir dispute #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…,"Islamabad, Pakistan"
Thu Oct 27 14:02:03 +0000 2022,Pakistan News ,Silent protest in Australia against Indian atrocities in IIOJK #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…,"Islamabad, Pakistan"
Thu Oct 27 13:02:03 +0000 2022,Pakistan News ,PM Shehbaz urges world to take notice of Indian HR abuses in IIOJK #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…,"Islamabad, Pakistan"
Thu Oct 27 12:28:54 +0000 2022,cricket.com.au ,Zimbabwe win the toss and elect to bat first against Pakistan #T20WorldCup pic.twitter.com/SmSRfokzIW,"Islamabad, Pakistan"
Thu Oct 27 12:10:03 +0000 2022,Pakistan News ,Former Australian Senator seeks global solidarity with Kashmiri people #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…,"Islamabad, Pakistan"
Thu Oct 27 12:08:03 +0000 2022,Pakistan News ,"Kashmiris’ self-determination, rights violations must be on int’l agenda: Senator David Shoebridge #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…","Islamabad, Pakistan"
Thu Oct 27 12:06:02 +0000 2022,Pakistan News ,China calls for resolving Kashmir dispute as per UNSC resolutions #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…,"Islamabad, Pakistan"
Thu Oct 27 12:04:02 +0000 2022,Pakistan News ,China calls for resolving Kashmir dispute as per UNSC resolutions #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…,"Islamabad, Pakistan"
Thu Oct 27 12:02:02 +0000 2022,Pakistan News ,APHC leaders condole death of Maulana Abbas Ansari #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…,"Islamabad, Pakistan"
Thu Oct 27 11:12:02 +0000 2022,Pakistan News ,Students stage rally to express solidarity with Kashmiris #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…,"Islamabad, Pakistan"
Thu Oct 27 11:10:02 +0000 2022,Pakistan News ,"‘Kashmir solution imperative for regional peace, stability’ #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…","Islamabad, Pakistan"
Thu Oct 27 11:08:02 +0000 2022,Pakistan News ,KP CM for implementation of UN resolutions on IIOJK #Pakistan #Kashmir #IndependentKashmir kmsnews.org/kms/2022/10/27…,"Islamabad, Pakistan"
